latitude,longitude,is_large
-14.3114004135,-178.065994263,0
28.20170021057129,-177.38099670410156,0
51.883564,-176.642783,0
-43.81189,-176.46514,0
-13.2383003235,-176.199005127,0
-21.241199493408203,-175.14999389648438,0
-19.777000427246094,-174.34100341796875,0
-18.58530044555664,-173.96200561523438,0
64.37809753417969,-173.2429962158203,0
-13.829999923706055,-172.00799560546875,0
63.76679992675781,-171.73300170898438,0
-2.7681200504300003,-171.710006714,0
-14.331,-170.710007,0
63.6864013671875,-170.4929962158203,0
57.166311,-170.222555,0
-19.079030990600586,-169.92559814453125,0
56.5783,-169.662003,0
-14.215622,-169.424254,0
65.2537002563,-166.85899353,0
53.89881,-166.544996,0
60.37139892578125,-166.27099609375,0
61.52389908,-166.1470032,0
68.87509918,-166.1100006,0
66.249604,-166.089112,0
61.78030014,-166.0390015,0
61.845298767100005,-165.570999146,0
64.51219940185547,-165.44500732421875,0
67.73619842529297,-164.56300354003906,0
62.78609848,-164.4909973,0
62.0605011,-163.302002,0
69.73290253,-163.0050049,0
67.56610107421875,-162.97500610351562,0
66.069603,-162.766006,0
55.2061,-162.725006,0
66.88469696,-162.598999,0
58.646400451699996,-162.06300354,0
61.8642997742,-162.026000977,0
60.77980042,-161.8379974,0
59.01139831542969,-161.82000732421875,0
65.981598,-161.149002,0
55.314998626708984,-160.5229949951172,0
66.9759979248,-160.43699646,0
59.052799224853516,-160.39700317382812,0
62.646702,-160.190994,0
70.6380004883,-159.994995117,0
-21.2026996613,-159.805999756,1
22.022800445599998,-159.785003662,0
62.18830108642578,-159.77499389648438,0
61.581600189208984,-159.54299926757812,0
21.97599983215332,-159.33900451660156,0
56.959359,-158.62106,0
59.2826004028,-158.617996216,0
59.04470062,-158.5050049,0
21.5795001984,-158.197006226,0
21.3074,-158.070009,0
21.481637,-158.037048,0
21.335278,-157.948333,0
21.32062,-157.924228,1
67.107043,-157.854308,0
21.4505004883,-157.768005371,0
70.46704,-157.436013,0
58.184386,-157.374873,0
1.9861600399017334,-157.35000610351562,0
21.15290069580078,-157.0959930419922,0
20.785600662231445,-156.9510040283203,0
64.73619843,-156.9369965,0
71.285402,-156.766008,0
20.962900161743164,-156.67300415039062,0
58.677845,-156.651965,0
20.8986,-156.429993,0
65.69789886,-156.3509979,0
19.738783,-156.045603,0
20.79560089111328,-156.01400756835938,0
62.894401550299996,-155.977005005,0
20.265300750732422,-155.86000061035156,0
20.001301,-155.667999,0
62.95289993,-155.6060028,0
61.09740067,-155.5740051,0
19.760099,-155.554001,0
64.72720337,-155.4700012,0
19.721399307250977,-155.04800415039062,0
59.75439835,-154.9109955,0
65.99279785,-153.7039948,0
57.75,-152.4940033,0
-16.42650032043457,-152.24400329589844,0
-16.444400787353516,-151.75100708007812,0
68.13359833,-151.7429962,0
66.91390228,-151.529007,0
59.645599365234375,-151.4770050048828,0
-16.7229,-151.466003,0
-22.434099197387695,-151.36099243164062,0
60.57310104370117,-151.2449951171875,0
60.474935,-151.038471,0
-16.687084,-151.021593,0
70.209999,-151.005998,0
62.320499420166,-150.09399414062,0
61.1744,-149.996002,1
61.2135009765625,-149.843994140625,0
61.250999450683594,-149.8070068359375,0
-17.48979,-149.761777,0
-17.553699,-149.606995,1
61.5717010498,-149.539993286,0
-23.365400314331055,-149.5240020751953,0
61.41650009,-149.5070038,0
60.130478,-149.418612,0
64.301201,-149.119995,0
61.594898,-149.08901,0
64.54730224609375,-149.07400512695312,0
-14.8681001663208,-148.7169952392578,0
70.19470215,-148.4649963,0
-15.119600296020508,-148.2310028076172,0
64.81510162,-147.8560028,1
-14.954299926757812,-147.66099548339844,0
64.83750153,-147.6139984,0
64.66570282,-147.102005,0
